CRN,BELTED_DEATH_COUNT,BELTED_SUSP_SERIOUS_INJ_COUNT,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,DEC_LAT,DEC_LONG,FATAL_COUNT,HOUR_OF_DAY,ILLUMINATION,INJURY_COUNT,INTERSECT_TYPE,LANE_CLOSED,LOCATION_TYPE,MAX_SEVERITY_LEVEL,MCYCLE_DEATH_COUNT,MCYCLE_SUSP_SERIOUS_INJ_COUNT,MOTORCYCLE_COUNT,MUNICIPALITY,NONMOTR_COUNT,NONMOTR_DEATH_COUNT,NONMOTR_SUSP_SERIOUS_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_SUSP_SERIOUS_INJ_COUNT,PERSON_COUNT,POSSIBLE_INJ_COUNT,RELATION_TO_ROAD,ROAD_CONDITION,SECONDARY_CRASH,SUSP_MINOR_INJ_COUNT,SUSP_SERIOUS_INJ_COUNT,TOT_INJ_COUNT,TOTAL_UNITS,UNB_DEATH_COUNT,UNB_SUSP_SERIOUS_INJ_COUNT,UNBELTED_OCC_COUNT,UNK_INJ_DEG_COUNT,UNK_INJ_PER_COUNT,URBAN_AREA,URBAN_RURAL,WEATHER1,WORK_ZONE_IND,AGGRESSIVE_DRIVING,ALCOHOL_RELATED,ANGLE_CRASH,BACKUP_NONRECURRING,BACKUP_CONGESTION,BICYCLE,CROSS_MEDIAN,CURVE_DVR_ERROR,CURVED_ROAD,DEER_RELATED,DISTRACTED,DRINKING_DRIVER,DRIVER_16YR,DRIVER_17YR,DRIVER_18YR,DRIVER_19YR,DRIVER_20YR,DRIVER_50_64YR,DRIVER_65_74YR,DRIVER_75PLUS,DRUG_RELATED,DRUGGED_DRIVER,ICY_ROAD,ILLUMINATION_DARK,INTERSECTION,INTERSTATE,LANE_DEPARTURE,LEFT_TURN,LIMIT_65MPH,LIMIT_70MPH,MARIJUANA_RELATED,RAMP,RAMP_SEGMENT,REAR_END,ROUNDABOUT,RUNNING_RED_LT,RUNNING_STOP_SIGN,SPEEDING,SPEEDING_RELATED,UNBELTED,UNDERAGE_DRNK_DRV,VULNERABLE_ROAD_USER_FATAL,WET_ROAD,WORK_ZONE,YOUNG_DRIVER,SPEED_LIMIT,STREET_NAME
2022046983,0,0,2,5,2022,5,40.4598,-79.9071,0,19.0,1,1,3,1,0,8,0,0,0,2301,0,0,0,0,0,0,1,0,2,1,N,0,0,1,1,0,0,0,1,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,WASHINGTON BL
2022052517,0,0,2,5,2022,2,40.3304,-80.0539,0,15.0,1,1,3,0,0,4,0,0,0,2407,0,0,0,0,0,0,3,1,1,1,N,0,0,1,2,0,0,0,0,1,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,WOODFORD RD
2022052662,0,0,2,6,2022,2,40.4539,-79.8447,0,18.0,1,0,0,1,0,0,0,0,0,2113,0,0,0,0,0,0,2,0,1,1,N,0,0,0,2,0,0,0,0,0,3,4,3,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,BEULAH RD
2022051450,0,0,2,5,2022,3,40.3478,-79.9517,0,22.0,3,2,1,1,0,8,0,0,0,2473,0,0,0,0,0,0,3,0,1,1,N,0,0,2,2,0,0,0,2,0,3,4,3,N,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,LEBANON CHURCH RD
2022050001,0,0,2,5,2022,1,40.4572,-80.1679,0,16.0,1,1,1,0,0,3,0,0,0,2115,0,0,0,0,0,0,3,0,1,1,N,1,0,1,2,0,0,0,0,0,3,4,3,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,PARK MANOR BL
2022048525,0,0,2,5,2022,6,40.3635,-79.968,0,22.0,3,1,1,1,0,3,0,0,0,2476,0,0,0,0,0,0,1,0,1,1,N,1,0,1,2,0,0,0,0,0,3,4,3,N,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,PROSPECT RD
2022050113,0,0,2,5,2022,2,40.3961,-79.9971,0,15.0,1,1,1,2,0,8,0,0,0,2301,0,0,0,0,0,0,2,0,1,1,N,0,0,1,2,0,0,0,1,0,3,4,3,N,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,COLERAIN ST
2022048724,0,0,2,5,2022,4,40.4579,-79.8431,0,0.0,3,3,0,2,0,3,0,0,0,2113,0,0,0,0,0,0,3,0,1,1,Y,3,0,3,2,0,0,0,0,0,3,4,3,N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,BEULAH RD
2022047838,0,0,2,5,2022,1,40.6614,-80.1094,0,16.0,1,0,0,0,0,0,0,0,0,2212,0,0,0,0,0,0,1,0,1,9,N,0,0,0,1,0,0,0,0,0,3,4,4,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,35.0,KNOB RD
2022048088,0,0,2,5,2022,1,40.6057,-79.8572,0,17.0,1,0,0,0,0,0,0,0,0,2220,0,0,0,0,0,0,3,0,1,1,N,0,0,0,2,0,0,0,0,0,1,4,3,N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,RUSSELLTON/DORSEYVILLE RD
